model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Linear regression,1.6652428454281003,0.44713267759604686,1.9754766572258586,0.5122932079865165,-0.9541875830827163,2.179245742473402
Mean baseline,1.6108821733821734,0.45289553293535667,1.8812648277973594,0.5068311904964243,-0.518899029374854,0.9549105148791257
Random forest regression,1.6188804922113367,0.48524901381481717,1.894350884301976,0.513831403823763,-0.857506455648838,2.4267449618489714
